2021-03-04 10:51:30.183 [http-nio-8092-exec-7] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:35.184 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - ===========HeartBeatTask-NextIndex =============
2021-03-04 10:51:35.184 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8090 nextIndex=2
2021-03-04 10:51:35.184 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8092 nextIndex=2
2021-03-04 10:51:35.193 [http-nio-8092-exec-8] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:35.193 [http-nio-8090-exec-6] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:35.193 [http-nio-8092-exec-8] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:35.193 [http-nio-8090-exec-6] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:40.195 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - ===========HeartBeatTask-NextIndex =============
2021-03-04 10:51:40.195 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8090 nextIndex=2
2021-03-04 10:51:40.195 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8092 nextIndex=2
2021-03-04 10:51:40.203 [http-nio-8090-exec-7] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:40.203 [http-nio-8090-exec-7] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:40.205 [http-nio-8092-exec-9] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:40.206 [http-nio-8092-exec-9] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:45.204 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - ===========HeartBeatTask-NextIndex =============
2021-03-04 10:51:45.204 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8090 nextIndex=2
2021-03-04 10:51:45.204 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8092 nextIndex=2
2021-03-04 10:51:45.212 [http-nio-8092-exec-10] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:45.212 [http-nio-8092-exec-10] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:45.213 [http-nio-8090-exec-8] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:45.213 [http-nio-8090-exec-8] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:50.212 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - ===========HeartBeatTask-NextIndex =============
2021-03-04 10:51:50.212 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8090 nextIndex=2
2021-03-04 10:51:50.212 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8092 nextIndex=2
2021-03-04 10:51:50.219 [http-nio-8092-exec-1] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:50.219 [http-nio-8090-exec-9] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:50.220 [http-nio-8092-exec-1] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:50.220 [http-nio-8090-exec-9] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:55.221 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - ===========HeartBeatTask-NextIndex =============
2021-03-04 10:51:55.221 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8090 nextIndex=2
2021-03-04 10:51:55.221 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8092 nextIndex=2
2021-03-04 10:51:55.230 [http-nio-8092-exec-2] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:55.230 [http-nio-8090-exec-10] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:55.230 [http-nio-8092-exec-2] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:55.230 [http-nio-8090-exec-10] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:52:00.232 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - ===========HeartBeatTask-NextIndex =============
2021-03-04 10:52:00.232 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8090 nextIndex=2
2021-03-04 10:52:00.233 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8092 nextIndex=2
2021-03-04 10:52:00.240 [http-nio-8092-exec-3] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:52:00.241 [http-nio-8092-exec-3] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:52:00.241 [http-nio-8090-exec-1] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:52:00.241 [http-nio-8090-exec-1] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:52:05.242 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - ===========HeartBeatTask-NextIndex =============
2021-03-04 10:52:05.242 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8090 nextIndex=2
2021-03-04 10:52:05.242 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8092 nextIndex=2
2021-03-04 10:52:05.248 [http-nio-8090-exec-3] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:52:05.248 [http-nio-8092-exec-4] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:52:05.248 [http-nio-8090-exec-3] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:52:05.248 [http-nio-8092-exec-4] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:52:10.251 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - ===========HeartBeatTask-NextIndex =============
2021-03-04 10:52:10.251 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8090 nextIndex=2
2021-03-04 10:52:10.251 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8092 nextIndex=2
2021-03-04 10:52:10.257 [http-nio-8092-exec-5] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:52:10.257 [http-nio-8090-exec-2] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:52:10.257 [http-nio-8092-exec-5] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:52:10.257 [http-nio-8090-exec-2] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:52:15.259 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - ===========HeartBeatTask-NextIndex =============
2021-03-04 10:52:15.259 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8090 nextIndex=2
2021-03-04 10:52:15.259 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8092 nextIndex=2
2021-03-04 10:52:15.267 [http-nio-8092-exec-6] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:52:15.268 [http-nio-8090-exec-4] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:52:15.268 [http-nio-8092-exec-6] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:52:15.268 [http-nio-8090-exec-4] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
